movie_img,movie_name,movie_url,rate,type,user_id,user_name
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2535260806.jpg,無雙,https://movie.douban.com/subject/26425063/,rating3-t,剧情/动作/犯罪/悬疑/,shuixia1825,水怪
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2533384240.jpg,李茶的姑妈,https://movie.douban.com/subject/27092785/,rating2-t,喜剧/,shuixia1825,水怪
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2534471408.jpg,找到你,https://movie.douban.com/subject/27140071/,rating4-t,剧情/家庭/,shuixia1825,水怪
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2529365085.jpg,Mission: Impossible - Fallout,https://movie.douban.com/subject/26336252/,rating3-t,动作/惊悚/冒险/,shuixia1825,水怪
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2530908793.jpg,爸，我一定行的,https://movie.douban.com/subject/30276726/,rating4-t,剧情/喜剧/家庭/,shuixia1825,水怪
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2528959166.jpg,最后的棒棒,https://movie.douban.com/subject/30254589/,rating1-t,纪录片/,shuixia1825,水怪
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2530569532.jpg,大三儿,https://movie.douban.com/subject/27119292/,rating4-t,纪录片/,shuixia1825,水怪
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2526405034.jpg,狄仁杰之四大天王,https://movie.douban.com/subject/25882296/,rating4-t,动作/悬疑/奇幻/武侠/古装/,shuixia1825,水怪
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2519070834.jpg,我不是药神,https://movie.douban.com/subject/26752088/,rating5-t,剧情/喜剧/,shuixia1825,水怪
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2524307398.jpg,盲行者,https://movie.douban.com/subject/30201276/,rating4-t,纪录片/,shuixia1825,水怪
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2510140779.jpg,云水,https://movie.douban.com/subject/27072747/,rating4-t,剧情/,shuixia1825,水怪
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2541901817.jpg,疯狂的外星人,https://movie.douban.com/subject/25986662/,推荐,喜剧/科幻/,shuixia1825,水怪
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2541901817.jpg,疯狂的外星人,https://movie.douban.com/subject/25986662/,还行,喜剧/科幻/,69460147,M-2024
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2548248276.jpg,"Love, Death & Robots",https://movie.douban.com/subject/30424374/,rating4-t,喜剧/科幻/动画/奇幻/恐怖/,69460147,M-2024
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2519560628.jpg,冥王星时刻,https://movie.douban.com/subject/26887153/,rating3-t,剧情/,69460147,M-2024
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2516702580.jpg,Der Hauptmann,https://movie.douban.com/subject/27114240/,rating4-t,剧情/历史/战争/,69460147,M-2024
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2528281606.jpg,공작,https://movie.douban.com/subject/26683421/,rating5-t,剧情/,69460147,M-2024
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p771490367.jpg,It's a Wonderful Life,https://movie.douban.com/subject/1293749/,rating5-t,剧情/爱情/奇幻/,69460147,M-2024
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2173719647.jpg,The Gods Must Be Crazy,https://movie.douban.com/subject/1297478/,rating4-t,喜剧/,69460147,M-2024
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2414163904.jpg,航拍中国 第一季,https://movie.douban.com/subject/26694967/,rating5-t,纪录片/,69460147,M-2024
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p708613284.jpg,The Bucket List,https://movie.douban.com/subject/1867345/,rating4-t,冒险/喜剧/剧情/,69460147,M-2024
